[2025-04-11T17:56:00.970+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: M3_GA_pipeline.post_to_elasticsearch manual__2025-04-11T17:55:12.050671+00:00 [queued]>
[2025-04-11T17:56:01.027+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: M3_GA_pipeline.post_to_elasticsearch manual__2025-04-11T17:55:12.050671+00:00 [queued]>
[2025-04-11T17:56:01.029+0000] {taskinstance.py:1368} INFO - 
--------------------------------------------------------------------------------
[2025-04-11T17:56:01.031+0000] {taskinstance.py:1369} INFO - Starting attempt 1 of 1
[2025-04-11T17:56:01.032+0000] {taskinstance.py:1370} INFO - 
--------------------------------------------------------------------------------
[2025-04-11T17:56:01.130+0000] {taskinstance.py:1389} INFO - Executing <Task(PythonOperator): post_to_elasticsearch> on 2025-04-11 17:55:12.050671+00:00
[2025-04-11T17:56:01.150+0000] {standard_task_runner.py:52} INFO - Started process 236 to run task
[2025-04-11T17:56:01.167+0000] {standard_task_runner.py:79} INFO - Running: ['***', 'tasks', 'run', 'M3_GA_pipeline', 'post_to_elasticsearch', 'manual__2025-04-11T17:55:12.050671+00:00', '--job-id', '15', '--raw', '--subdir', 'DAGS_FOLDER/P2M3_galuh_alifani_DAG.py', '--cfg-path', '/tmp/tmpnpetxuhw', '--error-file', '/tmp/tmp6z1gd2cy']
[2025-04-11T17:56:01.174+0000] {standard_task_runner.py:80} INFO - Job 15: Subtask post_to_elasticsearch
[2025-04-11T17:56:01.722+0000] {task_command.py:371} INFO - Running <TaskInstance: M3_GA_pipeline.post_to_elasticsearch manual__2025-04-11T17:55:12.050671+00:00 [running]> on host cc0ee192f301
[2025-04-11T17:56:02.008+0000] {taskinstance.py:1583} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=Galuh
AIRFLOW_CTX_DAG_ID=M3_GA_pipeline
AIRFLOW_CTX_TASK_ID=post_to_elasticsearch
AIRFLOW_CTX_EXECUTION_DATE=2025-04-11T17:55:12.050671+00:00
AIRFLOW_CTX_TRY_NUMBER=1
AIRFLOW_CTX_DAG_RUN_ID=manual__2025-04-11T17:55:12.050671+00:00
[2025-04-11T17:56:28.346+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:1.202s]
[2025-04-11T17:56:29.272+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.858s]
[2025-04-11T17:56:30.306+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.949s]
[2025-04-11T17:56:31.127+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.740s]
[2025-04-11T17:56:31.688+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.505s]
[2025-04-11T17:56:32.340+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.307s]
[2025-04-11T17:56:33.107+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.629s]
[2025-04-11T17:56:33.639+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.443s]
[2025-04-11T17:56:34.096+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.365s]
[2025-04-11T17:56:34.917+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.725s]
[2025-04-11T17:56:35.359+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.361s]
[2025-04-11T17:56:35.878+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.429s]
[2025-04-11T17:56:36.263+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.288s]
[2025-04-11T17:56:36.905+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.582s]
[2025-04-11T17:56:37.985+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.948s]
[2025-04-11T17:56:38.910+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.729s]
[2025-04-11T17:56:39.303+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.294s]
[2025-04-11T17:56:39.804+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.418s]
[2025-04-11T17:56:40.295+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.401s]
[2025-04-11T17:56:41.905+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:1.389s]
