[2025-04-11T18:21:54.507+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: M3_GA_pipeline.post_to_elasticsearch manual__2025-04-11T18:21:33.267350+00:00 [queued]>
[2025-04-11T18:21:54.529+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: M3_GA_pipeline.post_to_elasticsearch manual__2025-04-11T18:21:33.267350+00:00 [queued]>
[2025-04-11T18:21:54.530+0000] {taskinstance.py:1368} INFO - 
--------------------------------------------------------------------------------
[2025-04-11T18:21:54.530+0000] {taskinstance.py:1369} INFO - Starting attempt 1 of 1
[2025-04-11T18:21:54.531+0000] {taskinstance.py:1370} INFO - 
--------------------------------------------------------------------------------
[2025-04-11T18:21:54.580+0000] {taskinstance.py:1389} INFO - Executing <Task(PythonOperator): post_to_elasticsearch> on 2025-04-11 18:21:33.267350+00:00
[2025-04-11T18:21:54.591+0000] {standard_task_runner.py:52} INFO - Started process 229 to run task
[2025-04-11T18:21:54.596+0000] {standard_task_runner.py:79} INFO - Running: ['***', 'tasks', 'run', 'M3_GA_pipeline', 'post_to_elasticsearch', 'manual__2025-04-11T18:21:33.267350+00:00', '--job-id', '19', '--raw', '--subdir', 'DAGS_FOLDER/P2M3_galuh_alifani_DAG.py', '--cfg-path', '/tmp/tmpx_crol3y', '--error-file', '/tmp/tmpxk8jcg7_']
[2025-04-11T18:21:54.598+0000] {standard_task_runner.py:80} INFO - Job 19: Subtask post_to_elasticsearch
[2025-04-11T18:21:54.806+0000] {task_command.py:371} INFO - Running <TaskInstance: M3_GA_pipeline.post_to_elasticsearch manual__2025-04-11T18:21:33.267350+00:00 [running]> on host f0464688226f
[2025-04-11T18:21:55.025+0000] {taskinstance.py:1583} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=Galuh
AIRFLOW_CTX_DAG_ID=M3_GA_pipeline
AIRFLOW_CTX_TASK_ID=post_to_elasticsearch
AIRFLOW_CTX_EXECUTION_DATE=2025-04-11T18:21:33.267350+00:00
AIRFLOW_CTX_TRY_NUMBER=1
AIRFLOW_CTX_DAG_RUN_ID=manual__2025-04-11T18:21:33.267350+00:00
[2025-04-11T18:22:09.738+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.424s]
[2025-04-11T18:22:09.889+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.115s]
[2025-04-11T18:22:10.015+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.093s]
[2025-04-11T18:22:10.117+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.076s]
[2025-04-11T18:22:10.230+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.084s]
[2025-04-11T18:22:10.699+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.209s]
[2025-04-11T18:22:10.887+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.134s]
[2025-04-11T18:22:11.040+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.110s]
[2025-04-11T18:22:11.248+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.166s]
[2025-04-11T18:22:11.601+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.307s]
[2025-04-11T18:22:11.963+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.310s]
[2025-04-11T18:22:12.224+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.216s]
[2025-04-11T18:22:12.530+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.273s]
[2025-04-11T18:22:12.751+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.193s]
[2025-04-11T18:22:13.143+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.347s]
[2025-04-11T18:22:13.388+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.212s]
[2025-04-11T18:22:13.612+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.166s]
[2025-04-11T18:22:13.800+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.163s]
[2025-04-11T18:22:13.967+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.142s]
[2025-04-11T18:22:14.151+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.163s]
