[2025-04-13T07:02:52.290+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: M3_GA_pipeline.post_to_elasticsearch manual__2025-04-13T07:02:32.004516+00:00 [queued]>
[2025-04-13T07:02:52.321+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: M3_GA_pipeline.post_to_elasticsearch manual__2025-04-13T07:02:32.004516+00:00 [queued]>
[2025-04-13T07:02:52.322+0000] {taskinstance.py:1368} INFO - 
--------------------------------------------------------------------------------
[2025-04-13T07:02:52.323+0000] {taskinstance.py:1369} INFO - Starting attempt 1 of 1
[2025-04-13T07:02:52.324+0000] {taskinstance.py:1370} INFO - 
--------------------------------------------------------------------------------
[2025-04-13T07:02:52.390+0000] {taskinstance.py:1389} INFO - Executing <Task(PythonOperator): post_to_elasticsearch> on 2025-04-13 07:02:32.004516+00:00
[2025-04-13T07:02:52.447+0000] {standard_task_runner.py:52} INFO - Started process 508 to run task
[2025-04-13T07:02:52.459+0000] {standard_task_runner.py:79} INFO - Running: ['***', 'tasks', 'run', 'M3_GA_pipeline', 'post_to_elasticsearch', 'manual__2025-04-13T07:02:32.004516+00:00', '--job-id', '25', '--raw', '--subdir', 'DAGS_FOLDER/P2M3_galuh_alifani_DAG.py', '--cfg-path', '/tmp/tmpk6kb7jf_', '--error-file', '/tmp/tmpgis7bvjb']
[2025-04-13T07:02:52.468+0000] {standard_task_runner.py:80} INFO - Job 25: Subtask post_to_elasticsearch
[2025-04-13T07:02:52.767+0000] {task_command.py:371} INFO - Running <TaskInstance: M3_GA_pipeline.post_to_elasticsearch manual__2025-04-13T07:02:32.004516+00:00 [running]> on host a0a67293f3f1
[2025-04-13T07:02:53.076+0000] {taskinstance.py:1583} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=Galuh
AIRFLOW_CTX_DAG_ID=M3_GA_pipeline
AIRFLOW_CTX_TASK_ID=post_to_elasticsearch
AIRFLOW_CTX_EXECUTION_DATE=2025-04-13T07:02:32.004516+00:00
AIRFLOW_CTX_TRY_NUMBER=1
AIRFLOW_CTX_DAG_RUN_ID=manual__2025-04-13T07:02:32.004516+00:00
[2025-04-13T07:03:08.207+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:1.039s]
[2025-04-13T07:03:08.588+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.354s]
[2025-04-13T07:03:08.966+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.335s]
[2025-04-13T07:03:09.243+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.248s]
[2025-04-13T07:03:09.561+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.284s]
[2025-04-13T07:03:09.925+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.330s]
[2025-04-13T07:03:10.220+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.267s]
[2025-04-13T07:03:10.484+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.234s]
[2025-04-13T07:03:10.804+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.284s]
[2025-04-13T07:03:11.152+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.305s]
[2025-04-13T07:03:11.414+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.234s]
[2025-04-13T07:03:11.663+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.215s]
[2025-04-13T07:03:11.908+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.216s]
[2025-04-13T07:03:12.190+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.255s]
[2025-04-13T07:03:12.459+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.242s]
