[2025-04-13T08:46:14.285+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: M3_GA_pipeline.post_to_elasticsearch manual__2025-04-13T08:45:17.704667+00:00 [queued]>
[2025-04-13T08:46:14.318+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: M3_GA_pipeline.post_to_elasticsearch manual__2025-04-13T08:45:17.704667+00:00 [queued]>
[2025-04-13T08:46:14.319+0000] {taskinstance.py:1368} INFO - 
--------------------------------------------------------------------------------
[2025-04-13T08:46:14.320+0000] {taskinstance.py:1369} INFO - Starting attempt 1 of 1
[2025-04-13T08:46:14.320+0000] {taskinstance.py:1370} INFO - 
--------------------------------------------------------------------------------
[2025-04-13T08:46:14.379+0000] {taskinstance.py:1389} INFO - Executing <Task(PythonOperator): post_to_elasticsearch> on 2025-04-13 08:45:17.704667+00:00
[2025-04-13T08:46:14.393+0000] {standard_task_runner.py:52} INFO - Started process 1729 to run task
[2025-04-13T08:46:14.402+0000] {standard_task_runner.py:79} INFO - Running: ['***', 'tasks', 'run', 'M3_GA_pipeline', 'post_to_elasticsearch', 'manual__2025-04-13T08:45:17.704667+00:00', '--job-id', '28', '--raw', '--subdir', 'DAGS_FOLDER/P2M3_galuh_alifani_DAG.py', '--cfg-path', '/tmp/tmp4bsxljv_', '--error-file', '/tmp/tmpss21cq89']
[2025-04-13T08:46:14.406+0000] {standard_task_runner.py:80} INFO - Job 28: Subtask post_to_elasticsearch
[2025-04-13T08:46:15.141+0000] {task_command.py:371} INFO - Running <TaskInstance: M3_GA_pipeline.post_to_elasticsearch manual__2025-04-13T08:45:17.704667+00:00 [running]> on host a0a67293f3f1
[2025-04-13T08:46:16.054+0000] {taskinstance.py:1583} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=Galuh
AIRFLOW_CTX_DAG_ID=M3_GA_pipeline
AIRFLOW_CTX_TASK_ID=post_to_elasticsearch
AIRFLOW_CTX_EXECUTION_DATE=2025-04-13T08:45:17.704667+00:00
AIRFLOW_CTX_TRY_NUMBER=1
AIRFLOW_CTX_DAG_RUN_ID=manual__2025-04-13T08:45:17.704667+00:00
[2025-04-13T08:46:40.013+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:1.886s]
[2025-04-13T08:46:40.566+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.513s]
[2025-04-13T08:46:41.262+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.596s]
[2025-04-13T08:46:41.744+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.395s]
[2025-04-13T08:46:42.170+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.322s]
[2025-04-13T08:46:42.464+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.256s]
[2025-04-13T08:46:43.049+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.529s]
[2025-04-13T08:46:43.557+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.373s]
[2025-04-13T08:46:44.053+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.406s]
[2025-04-13T08:46:44.652+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.554s]
[2025-04-13T08:46:45.221+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.453s]
[2025-04-13T08:46:45.553+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.294s]
[2025-04-13T08:46:46.013+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.363s]
[2025-04-13T08:46:46.420+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.343s]
[2025-04-13T08:46:46.703+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.236s]
[2025-04-13T08:46:47.311+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.369s]
[2025-04-13T08:46:48.040+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.647s]
