[2025-04-13T17:44:26.509+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: M3_GA_pipeline.post_to_elasticsearch manual__2025-04-13T17:44:00.995604+00:00 [queued]>
[2025-04-13T17:44:26.524+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: M3_GA_pipeline.post_to_elasticsearch manual__2025-04-13T17:44:00.995604+00:00 [queued]>
[2025-04-13T17:44:26.524+0000] {taskinstance.py:1368} INFO - 
--------------------------------------------------------------------------------
[2025-04-13T17:44:26.525+0000] {taskinstance.py:1369} INFO - Starting attempt 1 of 1
[2025-04-13T17:44:26.525+0000] {taskinstance.py:1370} INFO - 
--------------------------------------------------------------------------------
[2025-04-13T17:44:26.551+0000] {taskinstance.py:1389} INFO - Executing <Task(PythonOperator): post_to_elasticsearch> on 2025-04-13 17:44:00.995604+00:00
[2025-04-13T17:44:26.558+0000] {standard_task_runner.py:52} INFO - Started process 259 to run task
[2025-04-13T17:44:26.562+0000] {standard_task_runner.py:79} INFO - Running: ['***', 'tasks', 'run', 'M3_GA_pipeline', 'post_to_elasticsearch', 'manual__2025-04-13T17:44:00.995604+00:00', '--job-id', '32', '--raw', '--subdir', 'DAGS_FOLDER/P2M3_galuh_alifani_DAG.py', '--cfg-path', '/tmp/tmpk96pqudt', '--error-file', '/tmp/tmp01k1wqp2']
[2025-04-13T17:44:26.565+0000] {standard_task_runner.py:80} INFO - Job 32: Subtask post_to_elasticsearch
[2025-04-13T17:44:26.794+0000] {task_command.py:371} INFO - Running <TaskInstance: M3_GA_pipeline.post_to_elasticsearch manual__2025-04-13T17:44:00.995604+00:00 [running]> on host f42020b50842
[2025-04-13T17:44:27.022+0000] {taskinstance.py:1583} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=Galuh
AIRFLOW_CTX_DAG_ID=M3_GA_pipeline
AIRFLOW_CTX_TASK_ID=post_to_elasticsearch
AIRFLOW_CTX_EXECUTION_DATE=2025-04-13T17:44:00.995604+00:00
AIRFLOW_CTX_TRY_NUMBER=1
AIRFLOW_CTX_DAG_RUN_ID=manual__2025-04-13T17:44:00.995604+00:00
[2025-04-13T17:44:27.031+0000] {base.py:271} INFO - HEAD http://elasticsearch:9200/table_m3 [status:200 request:0.005s]
[2025-04-13T17:44:27.160+0000] {base.py:271} INFO - DELETE http://elasticsearch:9200/table_m3 [status:200 request:0.128s]
[2025-04-13T17:44:49.097+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.662s]
[2025-04-13T17:44:49.422+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.272s]
[2025-04-13T17:44:49.752+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.289s]
[2025-04-13T17:44:50.053+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.234s]
[2025-04-13T17:44:50.275+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.180s]
[2025-04-13T17:44:50.508+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.188s]
[2025-04-13T17:44:50.690+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.126s]
[2025-04-13T17:44:50.917+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.188s]
[2025-04-13T17:44:51.129+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.175s]
[2025-04-13T17:44:51.297+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.125s]
[2025-04-13T17:44:51.508+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.173s]
[2025-04-13T17:44:51.797+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.259s]
[2025-04-13T17:44:52.020+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.180s]
[2025-04-13T17:44:52.282+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.212s]
[2025-04-13T17:44:52.502+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.172s]
[2025-04-13T17:44:52.736+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.177s]
[2025-04-13T17:44:53.030+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.229s]
[2025-04-13T17:44:53.258+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.186s]
[2025-04-13T17:44:53.499+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.189s]
[2025-04-13T17:44:53.633+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.080s]
[2025-04-13T17:44:53.754+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.080s]
[2025-04-13T17:44:53.875+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.078s]
[2025-04-13T17:44:53.989+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.082s]
[2025-04-13T17:44:54.087+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.063s]
[2025-04-13T17:44:54.180+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.068s]
[2025-04-13T17:44:54.299+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.085s]
[2025-04-13T17:44:54.400+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.074s]
[2025-04-13T17:44:54.513+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.076s]
[2025-04-13T17:44:54.629+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.081s]
[2025-04-13T17:44:54.759+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.098s]
[2025-04-13T17:44:54.891+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.091s]
[2025-04-13T17:44:54.994+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.068s]
[2025-04-13T17:44:55.106+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.082s]
[2025-04-13T17:44:55.218+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.077s]
[2025-04-13T17:44:55.395+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.141s]
[2025-04-13T17:44:55.526+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.097s]
[2025-04-13T17:44:55.660+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.095s]
[2025-04-13T17:44:55.766+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.078s]
[2025-04-13T17:44:55.861+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.064s]
[2025-04-13T17:44:55.952+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.062s]
[2025-04-13T17:44:56.049+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.069s]
[2025-04-13T17:44:56.134+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.059s]
[2025-04-13T17:44:56.214+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.051s]
[2025-04-13T17:44:56.294+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.054s]
[2025-04-13T17:44:56.378+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.059s]
[2025-04-13T17:44:56.466+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.061s]
[2025-04-13T17:44:56.584+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.083s]
[2025-04-13T17:44:56.683+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.068s]
[2025-04-13T17:44:56.799+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.080s]
[2025-04-13T17:44:56.892+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.063s]
[2025-04-13T17:44:56.997+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.075s]
[2025-04-13T17:44:57.092+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.061s]
[2025-04-13T17:44:57.197+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.069s]
[2025-04-13T17:44:57.302+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.077s]
[2025-04-13T17:44:57.387+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.057s]
[2025-04-13T17:44:57.466+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.053s]
[2025-04-13T17:44:57.545+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.053s]
[2025-04-13T17:44:57.630+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.060s]
[2025-04-13T17:44:57.772+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.106s]
[2025-04-13T17:44:57.924+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.116s]
[2025-04-13T17:44:58.051+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.097s]
[2025-04-13T17:44:58.154+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.075s]
[2025-04-13T17:44:58.247+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.060s]
[2025-04-13T17:44:58.327+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.053s]
[2025-04-13T17:44:58.439+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.088s]
[2025-04-13T17:44:58.526+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.062s]
[2025-04-13T17:44:58.614+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.059s]
[2025-04-13T17:44:58.710+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.073s]
[2025-04-13T17:44:58.805+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.067s]
[2025-04-13T17:44:58.910+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.078s]
[2025-04-13T17:44:59.019+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.069s]
