[2025-04-14T02:15:13.848+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: M3_GA_pipeline.post_to_elasticsearch manual__2025-04-14T02:14:42.629532+00:00 [queued]>
[2025-04-14T02:15:13.874+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: M3_GA_pipeline.post_to_elasticsearch manual__2025-04-14T02:14:42.629532+00:00 [queued]>
[2025-04-14T02:15:13.875+0000] {taskinstance.py:1368} INFO - 
--------------------------------------------------------------------------------
[2025-04-14T02:15:13.875+0000] {taskinstance.py:1369} INFO - Starting attempt 1 of 1
[2025-04-14T02:15:13.876+0000] {taskinstance.py:1370} INFO - 
--------------------------------------------------------------------------------
[2025-04-14T02:15:13.918+0000] {taskinstance.py:1389} INFO - Executing <Task(PythonOperator): post_to_elasticsearch> on 2025-04-14 02:14:42.629532+00:00
[2025-04-14T02:15:13.927+0000] {standard_task_runner.py:52} INFO - Started process 779 to run task
[2025-04-14T02:15:13.933+0000] {standard_task_runner.py:79} INFO - Running: ['***', 'tasks', 'run', 'M3_GA_pipeline', 'post_to_elasticsearch', 'manual__2025-04-14T02:14:42.629532+00:00', '--job-id', '36', '--raw', '--subdir', 'DAGS_FOLDER/P2M3_galuh_alifani_DAG.py', '--cfg-path', '/tmp/tmpqhoot4uu', '--error-file', '/tmp/tmphg6nazhl']
[2025-04-14T02:15:13.937+0000] {standard_task_runner.py:80} INFO - Job 36: Subtask post_to_elasticsearch
[2025-04-14T02:15:14.130+0000] {task_command.py:371} INFO - Running <TaskInstance: M3_GA_pipeline.post_to_elasticsearch manual__2025-04-14T02:14:42.629532+00:00 [running]> on host 3a167a6250ea
[2025-04-14T02:15:14.379+0000] {taskinstance.py:1583} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=Galuh
AIRFLOW_CTX_DAG_ID=M3_GA_pipeline
AIRFLOW_CTX_TASK_ID=post_to_elasticsearch
AIRFLOW_CTX_EXECUTION_DATE=2025-04-14T02:14:42.629532+00:00
AIRFLOW_CTX_TRY_NUMBER=1
AIRFLOW_CTX_DAG_RUN_ID=manual__2025-04-14T02:14:42.629532+00:00
[2025-04-14T02:15:14.429+0000] {base.py:271} INFO - HEAD http://elasticsearch:9200/table_m3 [status:200 request:0.036s]
[2025-04-14T02:15:14.807+0000] {base.py:271} INFO - DELETE http://elasticsearch:9200/table_m3 [status:200 request:0.376s]
[2025-04-14T02:15:37.040+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:1.507s]
[2025-04-14T02:15:37.467+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.392s]
[2025-04-14T02:15:37.838+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.330s]
[2025-04-14T02:15:38.169+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.284s]
