[2025-04-14T06:15:22.679+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: M3_GA_pipeline.post_to_elasticsearch manual__2025-04-14T06:14:57.795208+00:00 [queued]>
[2025-04-14T06:15:22.703+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: M3_GA_pipeline.post_to_elasticsearch manual__2025-04-14T06:14:57.795208+00:00 [queued]>
[2025-04-14T06:15:22.704+0000] {taskinstance.py:1368} INFO - 
--------------------------------------------------------------------------------
[2025-04-14T06:15:22.705+0000] {taskinstance.py:1369} INFO - Starting attempt 1 of 1
[2025-04-14T06:15:22.705+0000] {taskinstance.py:1370} INFO - 
--------------------------------------------------------------------------------
[2025-04-14T06:15:22.733+0000] {taskinstance.py:1389} INFO - Executing <Task(PythonOperator): post_to_elasticsearch> on 2025-04-14 06:14:57.795208+00:00
[2025-04-14T06:15:22.741+0000] {standard_task_runner.py:52} INFO - Started process 473 to run task
[2025-04-14T06:15:22.746+0000] {standard_task_runner.py:79} INFO - Running: ['***', 'tasks', 'run', 'M3_GA_pipeline', 'post_to_elasticsearch', 'manual__2025-04-14T06:14:57.795208+00:00', '--job-id', '41', '--raw', '--subdir', 'DAGS_FOLDER/P2M3_galuh_alifani_DAG.py', '--cfg-path', '/tmp/tmpl4yl11qy', '--error-file', '/tmp/tmpp0wo31vq']
[2025-04-14T06:15:22.748+0000] {standard_task_runner.py:80} INFO - Job 41: Subtask post_to_elasticsearch
[2025-04-14T06:15:22.932+0000] {task_command.py:371} INFO - Running <TaskInstance: M3_GA_pipeline.post_to_elasticsearch manual__2025-04-14T06:14:57.795208+00:00 [running]> on host b652548eb1f7
[2025-04-14T06:15:23.137+0000] {taskinstance.py:1583} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=Galuh
AIRFLOW_CTX_DAG_ID=M3_GA_pipeline
AIRFLOW_CTX_TASK_ID=post_to_elasticsearch
AIRFLOW_CTX_EXECUTION_DATE=2025-04-14T06:14:57.795208+00:00
AIRFLOW_CTX_TRY_NUMBER=1
AIRFLOW_CTX_DAG_RUN_ID=manual__2025-04-14T06:14:57.795208+00:00
[2025-04-14T06:15:23.150+0000] {base.py:271} INFO - HEAD http://elasticsearch:9200/table_m3 [status:200 request:0.009s]
[2025-04-14T06:15:23.385+0000] {base.py:271} INFO - DELETE http://elasticsearch:9200/table_m3 [status:200 request:0.235s]
[2025-04-14T06:15:44.155+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.878s]
[2025-04-14T06:15:44.466+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.281s]
[2025-04-14T06:15:44.865+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.358s]
[2025-04-14T06:15:45.174+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.270s]
[2025-04-14T06:15:45.470+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.261s]
[2025-04-14T06:15:45.837+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.336s]
[2025-04-14T06:15:46.174+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.306s]
[2025-04-14T06:15:46.477+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.264s]
[2025-04-14T06:15:46.768+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.260s]
[2025-04-14T06:15:47.055+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.262s]
[2025-04-14T06:15:47.290+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.203s]
[2025-04-14T06:15:47.521+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.199s]
[2025-04-14T06:15:47.789+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.238s]
[2025-04-14T06:15:48.045+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.225s]
[2025-04-14T06:15:48.272+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.198s]
[2025-04-14T06:15:48.605+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.306s]
[2025-04-14T06:15:48.930+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.275s]
[2025-04-14T06:15:49.232+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.262s]
[2025-04-14T06:15:49.519+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.246s]
[2025-04-14T06:15:49.768+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.212s]
[2025-04-14T06:15:50.001+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.203s]
[2025-04-14T06:15:50.198+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.167s]
[2025-04-14T06:15:50.394+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.170s]
[2025-04-14T06:15:50.597+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.161s]
[2025-04-14T06:15:50.764+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.145s]
[2025-04-14T06:15:50.943+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.156s]
[2025-04-14T06:15:51.142+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.176s]
[2025-04-14T06:15:51.321+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.146s]
[2025-04-14T06:15:51.519+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.168s]
[2025-04-14T06:15:51.768+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.212s]
[2025-04-14T06:15:51.970+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.168s]
[2025-04-14T06:15:52.158+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.163s]
[2025-04-14T06:15:52.332+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.150s]
[2025-04-14T06:15:52.512+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.153s]
[2025-04-14T06:15:52.738+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.202s]
[2025-04-14T06:15:52.995+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.214s]
[2025-04-14T06:15:53.270+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.224s]
[2025-04-14T06:15:53.533+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.226s]
[2025-04-14T06:15:53.780+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.218s]
[2025-04-14T06:15:54.226+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.411s]
[2025-04-14T06:15:54.448+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.186s]
[2025-04-14T06:15:54.648+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.172s]
[2025-04-14T06:15:54.837+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.157s]
[2025-04-14T06:15:54.979+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.121s]
[2025-04-14T06:15:55.129+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.131s]
[2025-04-14T06:15:55.285+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.133s]
