[2025-04-14T07:14:31.093+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: M3_GA_pipeline.post_to_elasticsearch manual__2025-04-14T07:14:06.676266+00:00 [queued]>
[2025-04-14T07:14:31.111+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: M3_GA_pipeline.post_to_elasticsearch manual__2025-04-14T07:14:06.676266+00:00 [queued]>
[2025-04-14T07:14:31.112+0000] {taskinstance.py:1368} INFO - 
--------------------------------------------------------------------------------
[2025-04-14T07:14:31.113+0000] {taskinstance.py:1369} INFO - Starting attempt 1 of 1
[2025-04-14T07:14:31.113+0000] {taskinstance.py:1370} INFO - 
--------------------------------------------------------------------------------
[2025-04-14T07:14:31.143+0000] {taskinstance.py:1389} INFO - Executing <Task(PythonOperator): post_to_elasticsearch> on 2025-04-14 07:14:06.676266+00:00
[2025-04-14T07:14:31.151+0000] {standard_task_runner.py:52} INFO - Started process 1190 to run task
[2025-04-14T07:14:31.166+0000] {standard_task_runner.py:79} INFO - Running: ['***', 'tasks', 'run', 'M3_GA_pipeline', 'post_to_elasticsearch', 'manual__2025-04-14T07:14:06.676266+00:00', '--job-id', '46', '--raw', '--subdir', 'DAGS_FOLDER/P2M3_galuh_alifani_DAG.py', '--cfg-path', '/tmp/tmp0khvlouz', '--error-file', '/tmp/tmp_01g028w']
[2025-04-14T07:14:31.188+0000] {standard_task_runner.py:80} INFO - Job 46: Subtask post_to_elasticsearch
[2025-04-14T07:14:31.494+0000] {task_command.py:371} INFO - Running <TaskInstance: M3_GA_pipeline.post_to_elasticsearch manual__2025-04-14T07:14:06.676266+00:00 [running]> on host b652548eb1f7
[2025-04-14T07:14:31.774+0000] {taskinstance.py:1583} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=Galuh
AIRFLOW_CTX_DAG_ID=M3_GA_pipeline
AIRFLOW_CTX_TASK_ID=post_to_elasticsearch
AIRFLOW_CTX_EXECUTION_DATE=2025-04-14T07:14:06.676266+00:00
AIRFLOW_CTX_TRY_NUMBER=1
AIRFLOW_CTX_DAG_RUN_ID=manual__2025-04-14T07:14:06.676266+00:00
[2025-04-14T07:14:31.795+0000] {base.py:271} INFO - HEAD http://elasticsearch:9200/table_m3 [status:200 request:0.016s]
[2025-04-14T07:14:32.148+0000] {base.py:271} INFO - DELETE http://elasticsearch:9200/table_m3 [status:200 request:0.352s]
[2025-04-14T07:14:54.055+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.604s]
[2025-04-14T07:14:54.236+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.150s]
[2025-04-14T07:14:54.425+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.162s]
[2025-04-14T07:14:54.550+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.097s]
[2025-04-14T07:14:54.737+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.161s]
[2025-04-14T07:14:54.896+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.131s]
[2025-04-14T07:14:55.031+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.109s]
[2025-04-14T07:14:55.173+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.116s]
[2025-04-14T07:14:55.304+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.104s]
[2025-04-14T07:14:55.428+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.099s]
[2025-04-14T07:14:55.576+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.117s]
