[2025-04-14T07:43:06.473+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: M3_GA_pipeline.post_to_elasticsearch manual__2025-04-14T07:42:40.464504+00:00 [queued]>
[2025-04-14T07:43:06.500+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: M3_GA_pipeline.post_to_elasticsearch manual__2025-04-14T07:42:40.464504+00:00 [queued]>
[2025-04-14T07:43:06.500+0000] {taskinstance.py:1368} INFO - 
--------------------------------------------------------------------------------
[2025-04-14T07:43:06.501+0000] {taskinstance.py:1369} INFO - Starting attempt 1 of 1
[2025-04-14T07:43:06.502+0000] {taskinstance.py:1370} INFO - 
--------------------------------------------------------------------------------
[2025-04-14T07:43:06.539+0000] {taskinstance.py:1389} INFO - Executing <Task(PythonOperator): post_to_elasticsearch> on 2025-04-14 07:42:40.464504+00:00
[2025-04-14T07:43:06.557+0000] {standard_task_runner.py:52} INFO - Started process 1666 to run task
[2025-04-14T07:43:06.560+0000] {standard_task_runner.py:79} INFO - Running: ['***', 'tasks', 'run', 'M3_GA_pipeline', 'post_to_elasticsearch', 'manual__2025-04-14T07:42:40.464504+00:00', '--job-id', '55', '--raw', '--subdir', 'DAGS_FOLDER/P2M3_galuh_alifani_DAG.py', '--cfg-path', '/tmp/tmp7nbc9vim', '--error-file', '/tmp/tmp5sc_bufy']
[2025-04-14T07:43:06.563+0000] {standard_task_runner.py:80} INFO - Job 55: Subtask post_to_elasticsearch
[2025-04-14T07:43:06.860+0000] {task_command.py:371} INFO - Running <TaskInstance: M3_GA_pipeline.post_to_elasticsearch manual__2025-04-14T07:42:40.464504+00:00 [running]> on host b652548eb1f7
[2025-04-14T07:43:07.153+0000] {taskinstance.py:1583} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=Galuh
AIRFLOW_CTX_DAG_ID=M3_GA_pipeline
AIRFLOW_CTX_TASK_ID=post_to_elasticsearch
AIRFLOW_CTX_EXECUTION_DATE=2025-04-14T07:42:40.464504+00:00
AIRFLOW_CTX_TRY_NUMBER=1
AIRFLOW_CTX_DAG_RUN_ID=manual__2025-04-14T07:42:40.464504+00:00
[2025-04-14T07:43:07.170+0000] {base.py:271} INFO - HEAD http://elasticsearch:9200/table_m3 [status:200 request:0.012s]
[2025-04-14T07:43:07.319+0000] {base.py:271} INFO - DELETE http://elasticsearch:9200/table_m3 [status:200 request:0.148s]
[2025-04-14T07:43:28.756+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.646s]
[2025-04-14T07:43:29.026+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.236s]
[2025-04-14T07:43:29.298+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.244s]
[2025-04-14T07:43:29.564+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.239s]
[2025-04-14T07:43:29.784+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.197s]
[2025-04-14T07:43:30.102+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.285s]
[2025-04-14T07:43:30.395+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.250s]
[2025-04-14T07:43:30.643+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.220s]
[2025-04-14T07:43:30.865+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.196s]
[2025-04-14T07:43:31.094+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.202s]
[2025-04-14T07:43:31.294+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.176s]
